SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
100,9101,,,,,,,Radian,,Radian,radian,Radian,Radian,,,,Radian,Radian,Radian,Radian,,,,,,,
200,9102,,,,,,,Degree,,Degree,degree,Degree,Decimal Degree,,,degree of angle,Degree,Degree,Degree,Decimal Degree,Degree|Degrees,,,This is the real EPSG entry for degrees.  All the others have to do with how the numbers are formatted.,,,
300,9103,,,,,,,Minute,,Minute,arc-minute,,Decimal Minute,,,,Decimal Minute,Decimal Minute,,Decimal Minute,,,,,,,
400,9104,,,,,,,Second,,Second,arc-second,,Decimal Second,,,,Decimal Second,Decimal Second,,Decimal Second,,,,,,,
500,9105,,,,,,,Grad,,Grad,grad,Grad,Grad,,,0.016 rad,Grad,Grad,Grad,Grad,,,,,,,
600,9106,,,,,,,Grad,,Grad,gon,Gon,Gon,,,,Gon,Gon,Gon,Gon,,,,,,,
700,9107,,,,,,,Degree,,Degree,degree minute second,,,,,,,,,,,,,,,,
800,9108,,,,,,,Degree,,Degree,Degree minute second hemisphere,,,,,,,,,,,,,,,,
900,9109,,,,,,,Degree,,Degree,microradian,,,,,,,,,,,,,,,,
1000,9110,,,,,,,Degree,,Degree,sexagesimal DMS,,,,,,,,,,,,,,,,
1100,9111,,,,,,,Degree,,Degree,seagesimal DM,,,,,,,,,,,,,,,,
1200,9112,,,,,,,,,,centesimal minute,,,,,,,,,,,,This is actually centesimal minutes of grads.,,,,
1300,9113,,,,,,,,,,centesimal second,,,,,,,,,,,,This is actually centesimal minutes of grads.,,,,
1400,9114,,,,,,,Mil,,Mil,mil_6400,,,,,,,,,,,,,,,,
1500,9115,,,,,,,Degree,,Degree,degree minute,,,,,,,,,,,,,,,,
1600,9116,,,,,,,Degree,,Degree,degree hemisphere,,,,,,,,,,,,,,,,
1700,9117,,,,,,,Degree,,Degree,hemisphere degree,,,,,,,,,,,,,,,,
1800,9118,,,,,,,Degree,,Degree,degree minute hemisphere,,,,,,,,,,,,,,,,
1900,9119,,,,,,,Degree,,Degree,hemisphere degree minute,,,,,,,,,,,,,,,,
2000,9120,,,,,,,Degree,,Degree,hemisphere degree minute second,,,,,,,,,,,,,,,,
2100,9121,,,,,,,Degree,,Degree,sexigesimal DMS's,,,,,,,,,,,,,,,,
