EPSG Code,Autodesk Name ,Problem Description,Action Date,Action
,LL-JGD2011-ITRF08,Name mapper entry was given the wrong type.  Geographic and Projective coordinate systems have separate name spaces in the NameMapper architecture.,3/27/2013,Changed Name Type from 16 (Projective) to 15 (Geographic) for Autodesk and CsMap Flavors using Excel.
,LL-JGD2011-ITRF94,Name mapper entry was given the wrong type.  Geographic and Projective coordinate systems have separate name spaces in the NameMapper architecture.,3/27/2013,Changed Name Type from 16 (Projective) to 15 (Geographic) for Autodesk and CsMap Flavors using Excel.
3821,TAIWAN1967.LL,Name mapper entry was given the wrong type.  Geographic and Projective coordinate systems have separate name spaces in the NameMapper architecture.,3/27/2013,Changed Name Type from 16 (Projective) to 15 (Geographic) for Autodesk and CsMap Flavors using Excel.
3824,TAIWAN1997.LL,Name mapper entry was given the wrong type.  Geographic and Projective coordinate systems have separate name spaces in the NameMapper architecture.,3/27/2013,Changed Name Type from 16 (Projective) to 15 (Geographic) for Autodesk and CsMap Flavors using Excel.
6225,CORREGO,"EPSG changed the name to ""Corrego Alegre 1970-72"" in release 7.09",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
6268,MICHIGAN,"EPSG changed the name to ""NAD27 Michigan"" in release 7.09",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
6659,ISN93,"EPSG changed the name to ""Islands Net 1993"" in release 7.09",3/27/2013,"Modified the CStestCppM.cpp module to skip this specific system.  As far as EPSG is concerned, 2192 may not have been used in the petroleum inducstry, but it may very well have been used elswhere and the system remains a valid system.  Therefore, we will keep ED50.EuroLambert as is, evben though it is deprecated in the EPSG parameter database."
2192,ED50.EuroLambert,"EPSG deprecated this system in release 7.9.2 and replaced it with 2154.  However, 2154 is the same cordinate system, but referenced to a different datum.  2192 is referenced to ED50 and 2154 is referenced to RGF93.  EPSG deprecation comment is ""Withdrawn and replaced before being put into use."" Thus, we can't deprecate our definition as I believe it to be still valid. So, we need to continue associating our ED50.EuroLambert with a deprecated EPSG definition. This is not pleasant. We'll need to add some special code to the test program to skip over this one.",4/9/2013,
2944,CSRS.SCoPQ-2,"EPSG simply deleted this CRS.  Explanation is that Quebec does not extend into Zone 2. Note that the PQ in the name implies Quebec.  We'll need to put some more special code into the test program to do away with this error, as there is nothing wrong with the coordinate system.",3/29/2013,Deprecated 2944 and did not replace it with anything.   Deprecation made in coordsys.asc and categoy.asc2
3038,ETRF89.TM26,"EPSG has deprecated this system as the useful  range of the projected coordinate system is outside the range of the underlying (i.e. base) geographic coordinate system.  I suppose we should deprecate this system, but there is no replacement for it. ",3/29/2013,Deprecated 3038 in coordsys.asc and category.asc
3039,ETRF89.TM27,"EPSG has deprecated this system as the useful  range of the projected coordinate system is outside the range of the underlying (i.e. base) geographic coordinate system.  I suppose we should deprecate this system, but there is no replacement for it. ",3/29/2013,Deprecated 3038 in coordsys.asc and category.asc
3040,ETRF89.TM28,"EPSG changed their name for this system to ""ETRS89 / UTM zone 28N (N-E)"" in Release 8.01.  Seems onlythe name has been changed, so this is just an edit to the name mapper.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
3041,ETRF89.TM29,"EPSG changed their name for this system to ""ETRS89 / UTM zone 29N (N-E)"" in Release 8.01.  Seems onlythe name has been changed, so this is just an edit to the name mapper.",3/27/2013,"Updated the name using Excel, retained the old name as an alias."
