SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
100,7001,0,0,0,0,0,,AIRY30,Airy1830,AIRY30,Airy 1830,Airy_1830,Airy 1830 (EPSG ID 7001),,,Airy 1830,,,,Airy 1930,,,,,0,0,0
200,7002,0,0,0,0,0,,AIRY-MOD,AiryModified/1849,AIRY-MOD,Airy Modified 1849,Airy_Modified,Airy Modified 1849 (EPSG ID 7002),,,Airy Modified 1849,,,,Airy 1930(Ireland 1965),,,,,0,0,0
300,7003,0,0,0,0,0,,ANS66|AUSSIE,ANS66,AUSSIE,Australian National Spheroid,Australian,Australian National Spheroid (EPSG ID 7003),,,Australian National Spheroid,,,,Australian,,,,,0,0,0
400,7004,0,0,0,0,0,,BESSEL,Bessel1841,BESSEL,Bessel 1841,Bessel_1841,Bessel 1841 (EPSG ID 7004),,,Bessel 1841,,,,Bessel 1841,,,,,0,0,0
500,7005,0,0,0,0,0,,BESL-MOD,BesselModified,BESL-MOD,Bessel Modified,Bessel_Modified,Bessel Modified (EPSG ID 7005),,,Bessel Modified,,,,,,,,,0,0,0
600,7007,0,0,0,0,0,,CLRK58,Clarke1858,CLRK58,Clarke 1858,Clarke_1858,Clarke 1858 (EPSG ID 7007),,,Clarke 1858,,,,,,,,,0,0,0
700,7008,0,0,0,0,0,,CLRK66,Clarke1866,CLRK66,Clarke 1866,Clarke_1866,Clarke 1866 (EPSG ID 7008),,,Clarke 1866,,,,Clarke 1866,,,,,0,0,0
800,7009,0,0,0,0,0,,MICHIGAN,Clark1866/Michigan,MICHIGAN,Clarke 1866 Michigan,Clarke_1866_Michigan,Clarke 1866 Michigan (EPSG ID 7009),,,Clarke 1866 Michigan,,,,Clarke 1866 (Michigan),,,,,0,0,0
900,7010,0,0,0,0,0,,CLRK-PAL,Clarke1880/PAL,CLRK-PAL,Clarke 1880 (Benoit),Clarke_1880_Benoit,Clarke 1880 (Benoit) (EPSG ID 7010),,,Clarke 1880 (Benoit),,,,Clarke 1880 (Benoit),,,,,0,0,0
1000,7011,0,0,0,0,0,,CLRK-IGN,Clarke1880/IGN,CLRK-IGN,Clarke 1880 (IGN),Clarke_1880_IGN,Clarke 1880 (IGN) (EPSG ID 7011),,,Clarke 1880 (IGN),,,,Clarke 1880 (IGN),,,,,0,0,0
1100,7012,0,0,0,0,0,,CLRK-RGS|CLRK80,Clarke1880/RGS,CLRK-RGS|CLRK80,Clarke 1880 (RGS),Clarke_1880_RGS,Clarke 1880 (RGS) (EPSG ID 7012),,,Clarke 1880 (RGS),,,,Clarke 1880,,,,,0,0,0
1200,7013,0,0,0,0,0,,CLRK-ARC,Clarke1880/Arc,CLRK-ARC|SACLRK80,Clarke 1880 (Arc),Clarke_1880_Arc,Clarke 1880 (Arc) (EPSG ID 7013),,,Clarke 1880 (Arc),,,,Clarke 1880 (Arc 1950),,,,,0,0,0
1300,7014,0,0,0,0,0,,CLRK22,Clarke1880/SGA/1922,CLRK22,Clarke 1880 (SGA 1922),Clarke_1880_SGA,Clarke 1880 (SGA 1922) (EPSG ID 7014),,,Clarke 1880 (SGA 1922),,,,Clarke 1880 (Merchich),,,,,0,0,0
1400,7015,0,0,0,0,0,,EVEREST,Everest1830/37,EVEREST,Everest 1830 (1937 Adjustment),Everest_Adjustment_1937,Everest 1830 (1937 Adjustment) (EPSG ID 7015),,,Everest 1830 (1937 Adjustment),,,,Everest,,,,,0,0,0
1500,7016,0,0,0,0,0,,Everest1830/67,Everest1830/67,Everest1830/67,Everest 1830 (1967 Definition),Everest_Definition_1967,Everest 1830 (1967 Definition) (EPSG ID 7016),,,Everest 1830 (1967 Definition),,,,,,,,,0,0,0
1600,7018,0,0,0,0,0,,EVRST-MD,EverestModified/1830,EVRST-MD,Everest 1830 Modified,Everest_1830_Modified,Everest 1830 Modified (EPSG ID 7018),,,Everest 1830 Modified,,,,Everest (Kertau),,,,,0,0,0
1700,7019,0,0,0,0,0,,GRS1980,GRS80,GRS1980,GRS 1980,GRS_1980,GRS 1980 (EPSG ID 7019),,,GRS 1980,,,,GRS 80,GRS 80,,,,0,0,0
1800,7020,0,0,0,0,0,,HLMRT06,Helmert06,HLMRT06,Helmert 1906,Helmert_1906,Helmert 1906 (EPSG ID 7020),,,Helmert 1906,,,,Helmert 1906,,,,,0,0,0
