SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
100,4327,0,0,0,0,0,,WGS84.LL,WGS84.LL,,WGS 84 (geographic 3D),,,,,,,,,,,,,,0,0,0
200,4329,0,0,0,0,0,,WGS84.LL,WGS84.LL,,WGS 84 (3D),,,,,,,,,,,,,,0,0,0
300,4339,0,0,0,0,0,,Antarctic98.LL,Antarctic98.LL,Antarctic98.LL,Australian Antarctic (3D),,,,,,,,,,,,,,0,0,0
400,4341,0,0,0,0,0,,Estonia97.LL,Estonia97.LL,Estonia97.LL,EST97 (3D),,,,,,,,,,,,,,0,0,0
500,4343,0,0,0,0,0,,CHTRF95.LL,CHTRF95.LL,CHTRF95.LL,CHTRF95 (3D),,,,,,,,,,,,,,0,0,0
600,4345,0,0,0,0,0,,ETRF89.LL,ETRF89.LL,,ETRS89 (3D),,,,,,,,,,,,,,0,0,0
700,4347,0,0,0,0,8229,,GDA94.LL,GDA94.LL,,GDA94 (3D),,,,,,,,,Longitude / Latitude (Geodetic Datum 1949),,,,,0,0,0
800,4349,0,0,0,0,0,,Hartebeesthoek94.LL,Hartebeesthoek94.LL,Hartebeesthoek94.LL,Hartebeesthoek94 (3D),,,,,,,,,,,,,,0,0,0
900,4351,0,0,0,0,0,,IRENET95.LL,Ireland95.LL,IRENET95.LL,IRENET95 (3D),,,,,,,,,,,,,,0,0,0
1000,4353,0,0,0,0,0,,JGD2000.LL,JGD2000.LL,JGD2000.LL,JGD2000 (3D),,,,,,,,,,,,,,0,0,0
1100,4355,0,0,0,0,0,,Lithuania94.LL,Lithuania94.LL,Lithuania94.LL,LKS94 (ETRS89) (3D),,,,,,,,,,,,,,0,0,0
1200,4357,0,0,0,0,0,,Moznet.LL,Moznet.LL,Moznet.LL,Moznet (3D),,,,,,,,,,,,,,0,0,0
1300,4359,0,0,0,0,0,,CSRS.LL,CSRS.LL,,NAD83(CSRS) (3D),,,,,,,,,,,,,,0,0,0
1400,4361,0,0,0,0,0,,HARN.LL,HARN.LL,,NAD83(HARN) (3D),,,,,,,,,,,,,,0,0,0
1500,4363,0,0,0,0,0,,NZGD2000.LL,NZGD2000.LL,NZGD2000.LL,NZGD2000 (3D),,,,,,,,,,,,,,0,0,0
1600,4365,0,0,0,0,0,,PosGAr98.LL,PosGAr98.LL,PosGAr98.LL,POSGAR 98 (3D),,,,,,,,,,,,,,0,0,0
1700,4367,0,0,0,0,0,,REGVEN.LL,RedGVen.LL,REGVEN.LL,REGVEN (3D),,,,,,,,,,,,,,0,0,0
1800,4369,0,0,0,0,0,,RGF93.LL,RGF93.LL,,RGF93 (3D),,,,,,,,,,,,,,0,0,0
1900,4371,0,0,0,0,0,,Guyane95.LL,Guyane95.LL,Guyane95.LL,RGFG95 (3D),,,,,,,,,,,,,,0,0,0
2000,4373,0,0,0,0,0,,Reunion92.LL,Reunion92.LL,Reunion92.LL,RGR92 (3D),,,,,,,,,,,,,,0,0,0
2100,4375,0,0,0,0,0,,GRSSA.LL,GRSSA.LL,GRSSA.LL,SIRGAS (3D),,,,,,,,,,,,,,0,0,0
2200,4377,0,0,0,0,0,,SWEREF99.LL,SWEREF99.LL,SWEREF99.LL,SWEREF99 (3D),,,,,,,,,,,,,,0,0,0
2300,4379,0,0,0,0,0,,YemenNtl96.LL,YemenNtl96.LL,YemenNtl96.LL,Yemen NGN96 (3D),,,,,,,,,,,,,,0,0,0
2400,4381,0,0,0,0,0,,Caledonie91.LL,Caledonie91.LL,Caledonie91.LL,RGNC 1991 (3D),,,,,,,,,,,,,,0,0,0
2500,4383,0,0,0,0,0,,Antilles91.LL,Antilles91.LL,Antilles91.LL,RRAF 1991 (3D),,,,,,,,,,,,,,0,0,0
2600,4386,0,0,0,0,0,,IslandsNet1993.LL,IslandsNetwork 1993.LL,IslandsNet1993.LL,ISN93 (3D),,,,,,,,,,,,,,0,0,0
2700,4388,0,0,0,0,0,,Latvia1992.LL,Latvia1992.LL,Latvia1992.LL,LKS92 (3D),,,,,,,,,,,,,,0,0,0
2800,4997,0,0,0,0,0,,MarcoGNR.LL,MarcoGNR.LL,MarcoGNR.LL,MAGNA-SIRGAS,,,,,,,,,,,,,,0,0,0
2900,4961,0,0,0,0,0,,PGA98.LL,,PGA98.LL,POSGAR 98,,,,,,,,,,,,,,0,0,0
