SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
100,4001,4001,4001,0,0,1,,,,,Unknown datum based upon the Airy 1830 ellipsoid,GCS_Airy_1830,Unknown datum based upon the Airy 1830 ellipsoid,,,Unknown datum based upon the Airy 1830 ellipsoid,,,,Sinusoidal (WGS 84),,,,,0,0,0
200,4002,4002,4002,0,0,0,,,,,Unknown datum based upon the Airy Modified 1849 ellipsoid,GCS_Airy_Modified,Unknown datum based upon the Airy Modified 1849 ellipsoid,,,Unknown datum based upon the Airy Modified 1849 ellipsoid,,,,,,,,,0,0,0
300,4003,4003,4003,0,0,0,,,,,Unknown datum based upon the Australian National Spheroid,GCS_Australian,Unknown datum based upon the Australian National Spheroid,,,Unknown datum based upon the Australian National Spheroid,,,,,,,,,0,0,0
400,4004,4004,4004,0,0,0,,,,,Unknown datum based upon the Bessel 1841 ellipsoid,GCS_Bessel_1841,Unknown datum based upon the Bessel 1841 ellipsoid,,,Unknown datum based upon the Bessel 1841 ellipsoid,,,,,,,,,0,0,0
500,4005,4005,4005,0,0,0,,,,,Unknown datum based upon the Bessel Modified ellipsoid,GCS_Bessel_Modified,Unknown datum based upon the Bessel Modified ellipsoid,,,Unknown datum based upon the Bessel Modified ellipsoid,,,,,,,,,0,0,0
600,4006,4006,4006,0,0,0,,,,,Unknown datum based upon the Bessel Namibia ellipsoid,GCS_Bessel_Namibia,Unknown datum based upon the Bessel Namibia ellipsoid,,,Unknown datum based upon the Bessel Namibia ellipsoid,,,,,,,,,0,0,0
700,4007,4007,4007,0,0,0,,,,,Unknown datum based upon the Clarke 1858 ellipsoid,GCS_Clarke_1858,Unknown datum based upon the Clarke 1858 ellipsoid,,,Unknown datum based upon the Clarke 1858 ellipsoid,,,,,,,,,0,0,0
800,4008,4008,4008,0,0,0,,,,,Unknown datum based upon the Clarke 1866 ellipsoid,GCS_Clarke_1866,Unknown datum based upon the Clarke 1866 ellipsoid,,,Unknown datum based upon the Clarke 1866 ellipsoid,,,,,,,,,0,0,0
900,4009,4009,4009,0,0,0,,,,,Unknown datum based upon the Clarke 1866 Michigan ellipsoid,GCS_Clarke_1866_Michigan,Unknown datum based upon the Clarke 1866 Michigan ellipsoid,,,Unknown datum based upon the Clarke 1866 Michigan ellipsoid,,,,,,,,,0,0,0
1000,4010,4010,4010,0,0,0,,,,,Unknown datum based upon the Clarke 1880 (Benoit) ellipsoid,GCS_Clarke_1880_Benoit,Unknown datum based upon the Clarke 1880 (Benoit) ellipsoid,,,Unknown datum based upon the Clarke 1880 (Benoit) ellipsoid,,,,,,,,,0,0,0
1100,4011,4011,4011,0,0,0,,,,,Unknown datum based upon the Clarke 1880 (IGN) ellipsoid,GCS_Clarke_1880_IGN,Unknown datum based upon the Clarke 1880 (IGN) ellipsoid,,,Unknown datum based upon the Clarke 1880 (IGN) ellipsoid,,,,,,,,,0,0,0
1200,4012,4012,4012,0,0,0,,,,,Unknown datum based upon the Clarke 1880 (RGS) ellipsoid,GCS_Clarke_1880_RGS,Unknown datum based upon the Clarke 1880 (RGS) ellipsoid,,,Unknown datum based upon the Clarke 1880 (RGS) ellipsoid,,,,,,,,,0,0,0
1300,4013,4013,4013,0,0,0,,,,,Unknown datum based upon the Clarke 1880 (Arc) ellipsoid,GCS_Clarke_1880_Arc,Unknown datum based upon the Clarke 1880 (Arc) ellipsoid,,,Unknown datum based upon the Clarke 1880 (Arc) ellipsoid,,,,,,,,,0,0,0
1400,4014,4014,4014,0,0,0,,,,,Unknown datum based upon the Clarke 1880 (SGA 1922) ellipsoid,GCS_Clarke_1880_SGA,Unknown datum based upon the Clarke 1880 (SGA 1922) ellipsoid,,,Unknown datum based upon the Clarke 1880 (SGA 1922) ellipsoid,,,,,,,,,0,0,0
1500,4015,0,4015,0,0,0,,,,,Unknown datum based upon the Everest 1830 (1937 Adjustment) ellipsoid,,Unknown datum based upon the Everest 1830 (1937 Adjustment) ellipsoid,,,Unknown datum based upon the Everest 1830 (1937 Adjustment) ellipsoid,,,,,,,,,0,0,0
1600,4016,4016,4016,0,0,0,,,,,Unknown datum based upon the Everest 1830 (1967 Definition) ellipsoid,GCS_Everest_def_1967,Unknown datum based upon the Everest 1830 (1967 Definition) ellipsoid,,,Unknown datum based upon the Everest 1830 (1967 Definition) ellipsoid,,,,,,,,,0,0,0
1700,4018,4018,4018,0,0,0,,,,,Unknown datum based upon the Everest 1830 Modified ellipsoid,GCS_Everest_Modified,Unknown datum based upon the Everest 1830 Modified ellipsoid,,,Unknown datum based upon the Everest 1830 Modified ellipsoid,,,,,,,,,0,0,0
1800,4019,4019,4019,0,0,0,,,,,Unknown datum based upon the GRS 1980 ellipsoid,GCS_GRS_1980,Unknown datum based upon the GRS 1980 ellipsoid,,,Unknown datum based upon the GRS 1980 ellipsoid,,,,,,,,,0,0,0
1900,4020,4020,4020,0,0,0,,,,,Unknown datum based upon the Helmert 1906 ellipsoid,GCS_Helmert_1906,Unknown datum based upon the Helmert 1906 ellipsoid,,,Unknown datum based upon the Helmert 1906 ellipsoid,,,,,,,,,0,0,0
2000,4021,4021,4021,0,0,0,,,,,Unknown datum based upon the Indonesian National Spheroid,GCS_Indonesian,Unknown datum based upon the Indonesian National Spheroid,,,Unknown datum based upon the Indonesian National Spheroid,,,,,,,,,0,0,0
2100,4022,4022,4022,0,0,0,,,,,Unknown datum based upon the International 1924 ellipsoid,GCS_International_1924,Unknown datum based upon the International 1924 ellipsoid,,,Unknown datum based upon the International 1924 ellipsoid,,,,,,,,,0,0,0
2200,4024,4024,4024,0,0,0,,,,,Unknown datum based upon the Krassowsky 1940 ellipsoid,GCS_Krasovsky_1940,Unknown datum based upon the Krassowsky 1940 ellipsoid,,,Unknown datum based upon the Krassowsky 1940 ellipsoid,,,,,,,,,0,0,0
2300,4025,4025,4025,0,0,0,,,,,Unknown datum based upon the NWL 9D ellipsoid,GCS_NWL_9D,Unknown datum based upon the NWL 9D ellipsoid,,,Unknown datum based upon the NWL 9D ellipsoid,,,,,,,,,0,0,0
2400,4027,4027,4027,0,0,0,,,,,Unknown datum based upon the Plessis 1817 ellipsoid,GCS_Plessis_1817,Unknown datum based upon the Plessis 1817 ellipsoid,,,Unknown datum based upon the Plessis 1817 ellipsoid,,,,,,,,,0,0,0
2500,4028,4028,4028,0,0,0,,,,,Unknown datum based upon the Struve 1860 ellipsoid,GCS_Struve_1860,Unknown datum based upon the Struve 1860 ellipsoid,,,Unknown datum based upon the Struve 1860 ellipsoid,,,,,,,,,0,0,0
2600,4029,4029,4029,0,0,0,,,,,Unknown datum based upon the War Office ellipsoid,GCS_War_Office,Unknown datum based upon the War Office ellipsoid,,,Unknown datum based upon the War Office ellipsoid,,,,,,,,,0,0,0
2700,4030,0,4030,0,0,0,,LL,Unreferenced.LL,LL,Unknown datum based upon the WGS 84 ellipsoid,,Unknown datum based upon the WGS 84 ellipsoid,,,Unknown datum based upon the WGS 84 ellipsoid,,,,,,,,,0,0,0
2800,4031,4031,4031,0,0,0,,,,,Unknown datum based upon the GEM 10C ellipsoid,GCS_GEM_10C,Unknown datum based upon the GEM 10C ellipsoid,,,Unknown datum based upon the GEM 10C ellipsoid,,,,,,,,,0,0,0
2900,4032,4032,4032,0,0,0,,,,,Unknown datum based upon the OSU86F ellipsoid,GCS_OSU_86F,Unknown datum based upon the OSU86F ellipsoid,,,Unknown datum based upon the OSU86F ellipsoid,,,,,,,,,0,0,0
3000,4033,4033,4033,0,0,0,,,,,Unknown datum based upon the OSU91A ellipsoid,GCS_OSU_91A,Unknown datum based upon the OSU91A ellipsoid,,,Unknown datum based upon the OSU91A ellipsoid,,,,,,,,,0,0,0
3100,4034,4034,4034,0,0,0,,,,,Unknown datum based upon the Clarke 1880 ellipsoid,GCS_Clarke_1880,Unknown datum based upon the Clarke 1880 ellipsoid,,,Unknown datum based upon the Clarke 1880 ellipsoid,,,,,,,,,0,0,0
3200,4035,4035,4035,0,0,0,,,,,Unknown datum based upon the Authalic Sphere,GCS_Sphere,Unknown datum based upon the Authalic Sphere,,,Unknown datum based upon the Authalic Sphere,,,,,,,,,0,0,0
3300,4036,4036,4036,0,0,0,,,,,Unknown datum based upon the GRS 1967 ellipsoid,GCS_GRS_1967,Unknown datum based upon the GRS 1967 ellipsoid,,,Unknown datum based upon the GRS 1967 ellipsoid,,,,,,,,,0,0,0
3400,4041,0,4041,0,0,0,,,,,Unknown datum based upon the Average Terrestrial System 1977 ellipsoid,,Unknown datum based upon the Average Terrestrial System 1977 ellipsoid,,,Unknown datum based upon the Average Terrestrial System 1977 ellipsoid,,,,,,,,,0,0,0
3500,4042,4042,4042,0,0,0,,,,,Unknown datum based upon the Everest (1830 Definition) ellipsoid,GCS_Everest_1830,Unknown datum based upon the Everest (1830 Definition) ellipsoid,,,Unknown datum based upon the Everest (1830 Definition) ellipsoid,,,,,,,,,0,0,0
3600,4043,0,4043,0,0,0,,,,,Unknown datum based upon the WGS 72 ellipsoid,,Unknown datum based upon the WGS 72 ellipsoid,,,Unknown datum based upon the WGS 72 ellipsoid,,,,,,,,,0,0,0
3700,4044,4044,4044,0,0,0,,,,,Unknown datum based upon the Everest 1830 (1962 Definition) ellipsoid,GCS_Everest_def_1962,Unknown datum based upon the Everest 1830 (1962 Definition) ellipsoid,,,Unknown datum based upon the Everest 1830 (1962 Definition) ellipsoid,,,,,,,,,0,0,0
3800,4045,4045,4045,0,0,0,,,,,Unknown datum based upon the Everest 1830 (1975 Definition) ellipsoid,GCS_Everest_def_1975,Unknown datum based upon the Everest 1830 (1975 Definition) ellipsoid,,,Unknown datum based upon the Everest 1830 (1975 Definition) ellipsoid,,,,,,,,,0,0,0
3900,4047,0,4047,0,0,0,,,,,Unspecified datum based upon the GRS 1980 Authalic Sphere,,Unspecified datum based upon the GRS 1980 Authalic Sphere,,,Unspecified based upon the GRS 1980 Authalic Sphere,,,,,,,,,0,0,0
4000,4052,4052,0,0,0,0,,,,,Unspecified datum based upon the Clarke 1866 Authalic Sphere,GCS_Sphere_Clarke_1866_Authalic,,,,,,,,,,,,,0,0,0
4100,4120,4120,4120,0,0,0,,Greek.LL,Greek.LL,,Greek,GCS_Greek,Greek,,,Greek,,,,,,,,,0,0,0
4200,4121,4121,4121,0,0,0,,GGRS87.LL,Greek/GGRS87.LL,GGRS87.LL,GGRS87,GCS_GGRS_1987,GGRS87,,,GGRS87,,,,,,,,,0,0,0
4300,4122,4122,4122,0,0,0,,LL77,ATS77.LL,LL-ATS77,ATS77,GCS_ATS_1977,ATS77,,,,,,,,,,,,0,0,0
4400,4123,4123,4123,0,0,0,,KKJ.LL,FinlandKKJ.LL,KKJa.LL,KKJ,GCS_KKJ,KKJ,,,KKJ,,,,,,,,,0,0,0
4500,4124,4124,4124,0,0,8288,,LL-RT90,RT90.LL,RT90-3/7P.LL,RT90,GCS_RT_1990,RT90,,,RT90,,,,Longitude / Latitude (RT 90),,,,,0,0,0
4600,0,4125,4125,0,0,0,,Samboja.LL,Samboja.LL,Samboja_1.LL,Samboja,GCS_Samboja,Samboja,,,Samboja,,,,,,,,,0,0,0
4700,4669,4126,4126,0,0,0,,Lithuania94.LL,Lithuania94.LL,Lithuania94.LL,LKS94 (ETRS89),GCS_LKS_1994,LKS94|LKS94 (ETRS89),,,LKS94 (ETRS89),,,,,,,,,0,0,0
4800,4127,4127,4127,0,0,0,,Tete.LL,Tete.LL,Tete/a.LL,Tete,GCS_Tete,Tete,,,Tete,,,,,,,,,0,0,0
4900,4128,4128,4128,0,0,0,,Madzansua.LL,Madzansua.LL,,Madzansua,GCS_Madzansua,Madzansua,,,Madzansua,,,,,,,,,0,0,0
5000,4129,4129,4129,0,0,0,,Observatario.LL,Observatario.LL,,Observatario,GCS_Observatario,Observatario,,,Observatario,,,,,,,,,0,0,0
5100,4130,4130,4130,0,0,0,,Moznet.LL,Moznet.LL,Moznet.LL,Moznet,GCS_Moznet,Moznet,,,Moznet,,,,,,,,,0,0,0
5200,4131,4131,4131,0,0,0,,Indian60.LL,Indian60.LL,Indian1960/E.LL,Indian 1960,GCS_Indian_1960,Indian 1960,,,Indian 1960,,,,,,,,,0,0,0
5300,4132,4132,4132,0,0,0,,Final58.LL,Final58.LL,Final1958.LL,FD58,GCS_FD_1958,FD58,,,FD58,,,,,,,,,0,0,0
5400,4133,4133,4133,0,0,0,,Estonia92,Estonia92,Estonia92a.LL,EST92,GCS_Estonia_1992,EST92,,,EST92,,,,,,,,,0,0,0
5500,4134,4134,4134,0,0,0,,PDOSurvey93.LL,PDOSurvey93.LL,PDOSurvey93a.LL,PSD93,GCS_PDO_1993,PDO Survey Datum 1993,,,PDO Survey Datum 1993,,,,,,,,,0,0,0
5600,4135,4135,4135,0,0,8277,,LL-OLDHI,OldHawaiian.LL,LL-OLDHI,Old Hawaiian,GCS_Old_Hawaiian,Old Hawaiian,,,Old Hawaiian,,,,Longitude / Latitude (Old Hawaiian),,,,,0,0,0
5700,4136,4136,4136,0,0,0,,StLawrence.LL,StLawrence.LL,,St. Lawrence Island,GCS_St_Lawrence_Island,St. Lawrence Island,,,,,,,,,,,,0,0,0
5800,4137,4137,4137,0,0,0,,StPaul.LL,StPaul.LL,,St. Paul Island,GCS_St_Paul_Island,St. Paul Island,,,,,,,,,,,,0,0,0
5900,4138,4138,4138,0,0,0,,StGeorge.LL,StGeorge.LL,,St. George Island,GCS_St_George_Island,St. George Island,,,,,,,,,,,,0,0,0
6000,4139,4139,4139,0,0,8284,,PRVI.LL,PRVI.LL,PRVI.LL,Puerto Rico,GCS_Puerto_Rico,Puerto Rico,,,Puerto Rico,,,,Longitude / Latitude (Puerto Rico),,,,,0,0,0
6100,4617,4140,4140,0,0,0,,LLCSRS,CSRS.LL,LL-CSRS,NAD83(CSRS),GCS_North_American_1983_CSRS98,NAD83(CSRS98),,,NAD83(CSRS98)|NAD83(CSRS),,,,,,,,,0,0,0
6200,4141,4141,4141,0,0,0,,Israel.LL,Israel.LL,Israel.LL,Israel,GCS_Israel,Israel,,,Israel,,,,,,,,,0,0,0
6300,4142,4142,4142,0,0,0,,Locodjo65.LL,Locodjo65.LL,Locodjo1965.LL,Locodjo 1965,GCS_Locodjo_1965,Locodjo 1965,,,Locodjo 1965,,,,,,,,,0,0,0
6400,4143,4143,4143,0,0,0,,Abidjan87.LL,Abidjan87.LL,Abidjan1987.LL,Abidjan 1987,GCS_Abidjan_1987,Abidjan 1987,,,Abidjan 1987,,,,,,,,,0,0,0
6500,4144,4144,4144,0,0,0,,Kalianpur37.LL,Kalianpur37.LL,Kalianpur1937.LL,Kalianpur 1937,GCS_Kalianpur_1937,Kalianpur 1937,,,Kalianpur 1937,,,,,,,,,0,0,0
6600,4145,4145,4145,0,0,0,,Kalianpur62.LL,Kalianpur62.LL,Kalianpur1962.LL,Kalianpur 1962,GCS_Kalianpur_1962,Kalianpur 1962,,,Kalianpur 1962,,,,,,,,,0,0,0
