ZoneName,CountyCode,EpsgAbbreviation,LatOrgDeg,LatOrgMin,LatOrgSec,LngOrgDeg,LngOrgMin,LngOrgSec,ScaleReduction,FalseEasting,FalseNorthing,TestEasting,TestNorthing
Adams,01,01,40,33,00,84,57,00,1.000034,"240,000","36,000","235,857.321","197,042.576"
Allen,02,02,40,54,00,85,03,00,1.000031,"240,000","36,000","244,142.667","158,173.879"
Bartholomew,03,03,39,00,00,85,51,00,1.000026,"240,000","36,000","310,425.254","369,491.117"
Benton,04,04,40,27,00,87,18,00,1.000029,"240,000","36,000","430,567.721","210,705.421"
Blackford,05,05-18,40,03,00,85,24,00,1.000038,"240,000","36,000","273,141.593","252,641.732"
Boone,06,06-32,39,36,00,86,30,00,1.000036,"240,000","36,000","364,282.128","303,618.467"
Brown,07,07,39,00,00,86,18,00,1.000030,"240,000","36,000","347,710.206","369,960.596"
Carroll,08,08,40,24,00,86,39,00,1.000026,"240,000","36,000","376,709.323","215,014.436"
Cass,09,09,40,33,00,86,24,00,1.000028,"240,000","36,000","355,995.543","197,988.761"
Clark,10,10-22-72,38,09,00,85,36,00,1.000021,"240,000","36,000","289,711.598","463,672.324"
Clay,11,11,39,09,00,87,09,00,1.000024,"240,000","36,000","418,137.860","354,724.927"
Clinton,12,12,40,09,00,86,36,00,1.000032,"240,000","36,000","372,567.295","242,697.736"
Crawford,13,13-47-59,38,06,00,86,30,00,1.000025,"240,000","36,000","364,280.761","470,138.638"
Daviess,14,14-28,38,27,00,87,06,00,1.000018,"240,000","36,000","413,993.876","432,329.722"
Dearborn,15,15-58-78,38,39,00,84,54,00,1.000029,"240,000","36,000","231,714.683","408,002.771"
Decatur,16,16-70,39,06,00,85,39,00,1.000036,"240,000","36,000","293,855.057","358,247.257"
DeKalb,17,17,41,15,00,84,57,00,1.000036,"240,000","36,000","235,857.313","119,303.715"
Delaware,18,05-18,40,03,00,85,24,00,1.000038,"240,000","36,000","273,141.593","252,641.732"
Dubois,19,19-51,38,12,00,86,57,00,1.000020,"240,000","36,000","401,565.536","459,787.679"
Elkhart,20,20-43-85,40,39,00,85,51,00,1.000033,"240,000","36,000","310,425.747","186,285.784"
