SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
100,0,,,,,,1,LL,,Null Projection,,,,,,,Null Projection,,,,,,,,,,
200,9807,,,,,,3,TM,,Transverse Mercator|TM,Transverse Mercator|TM,Transverse_Mercator|TM,Transverse Mercator|TM,,,Transverse_Mercator|Transverse Mercator Finnish KKJ|TM,Transverse_Mercator|TM,Transverse_Mercator|TM,CT_TransverseMercator|TM,Transverse Mercator|Transverse Mercator Finnish KKJ|TM,,,,,,,
300,9822,,,,,,4,AE,,Albers Equal Area Conic|AE,Albers Equal AreaAE,Albers|AE,Albers Conical Equal Area|AE,,,Albers_Conic_Equal_Area|AE,Albers_Conic_Equal_Area,Albers_Conic_Equal_Area|AE,CT_AlbersEqualArea|AE,Albers Conical Equal Area|AE,,,,,,,
400,9804,,,,,,49,MRCATK,,Mercator Cylindrical with Scale Reduction,Mercator (1SP),,,,,Mercator_1SP,Mercator_1SP|Mercator Cylindrical Projection with Scale Reduction,Mercator_1SP,,,,,,,,,
500,9805,,,,,,6,MRCAT,,Mercator Cylindrical with Standard Parallel,Mercator (2SP),Mercator,Mercator,,,Mercator_2SP,Mercator_2SP,Mercator_2SP,CT_Mercator,Mercator,,,,,,,
550,1024,,,,,,69,MRCAT-PV,,Popular Visualisation Pseudo Mercator,Popular Visualisation Pseudo Mercator,,,,,,Popular Visualisation Pseudo Mercator,Popular Visualisation Pseudo Mercator,,,,,,,,,
600,0,,,,,,7,AZMED,,Lambert Azimuthal Equidistant,Lambert Azimuthal Equidistant,Azimuthal_Equidistant,Azimuthal Equidistant,,,,Lambert_Azimuthal_Equidistant,Lambert_Azimuthal_Equidistant,CT_LambertAzimuthalEquidistant,Azimuthal Equidistant,,,,,,,
700,0,,,,,,8,LMTAN,,Lambert Tangential Conformal Conic,,,Lambert Conformal Conic,,,,Lambert Tangential Conformal Conic Projection|Lambert Tangential,,,,,,,,,,
800,9818,,,,,,9,PLYCN,,American Polyconic Projection,American Polyconic,Polyconic,Polyconic,,,American_Polyconic,Polyconic,Polyconic,CT_Polyconic,Polyconic,,,,,,,
900,0,,,,,,10,MODPC,,Lallemand IMW Modified Polyconic,,,,,,,Lallemand IMW Modified Polyconic Projection,,,,,,,,,,
1000,9820,,,,,,11,AZMEA,,Lambert Azimuthal Equal Area,Lambert Azimuthal Equal Area|Lambert Azimuthal Equal Area (Spherical),Lambert_Azimuthal_Equal_Area,Lambert Azimuthal Equal Area,,,Lambert_Azimuthal_Equal_Area_Spherical,Lambert_Azimuthal_Equal_Area,Lambert_Azimuthal_Equal_Area,CT_LambertAzimuthalEqualArea,Lambert Azimuthal Equal Area,,,,,,,
1100,0,,,,,,12,EDCNC,,Equidistant Conic,,Equidistant_Conic,,,,,Equidistant_Conic,Equidistant_Conic,,Equidistant Conic,,,,,,,
1200,0,,,,,,13,MILLER,,Miller Cylindrical|Miller,,Miller_Cylindrical|Miller,Miller Cylindrical|Miller,,,,Miller_Cylindrical|Miller,Miller_Cylindrical|Miller,CT_MillerCylindrical|Miller,Miller Cylindrical|Miller,,,,,,,
1300,0,,,,,,15,MSTERO,,Modified Stereographic,,,,,,,Modified Sterographic Projection,,,,,,,,,,
1400,9811,,,,,,16,NZEALAND,,New Zealand National Grid,New Zealand Map Grid,New_Zealand_Map_Grid,New Zealand Map Grid,,,New_Zealand_Map_Grid,New_Zealand_Map_Grid,New_Zealand_Map_Grid,CT_NewZealandMapGrid,New Zealand Map Grid,,,,,,,
1500,0,,,,,,17,SINUS,,Sinusoidal,,Sinusoidal,Sinusoidal,,,,Sinusoidal,Sinusoidal,CT_Sinusoidal,Sinusoidal,,,,,,,
1600,0,,,,,,18,ORTHO,,Orthographic,,Orthographic,,,,,Orthographic Projection,,,Orthographic,,,,,,,
1700,0,,,,,,19,GNOMONIC,,Gnomonic,,Gnomonic,,,,,Gnomonic Projection,,,Gnomonic,,,,,,,
1710,9842,,,,,,67,EDCYL-E,,Equidistant Cylindrical Projection (Ellipsoidal or Spherical),,,,,,,,,,,,,,,,,
1720,0,,,,,,68,PCARREE,,Plate Carree|Simple Cylindrical|Plate Carree / Simple Cylindrical,,,,,,,,,,,,,,,,,
1800,9823,,,,,,20,EDCYL,,Equidistant Cylindrical|Equidistant Cylindrical Projection (Deprecated: Spherical Only),Equidistant Cylindrical,Equidistant_Cylindrical,,,,Equidistant_Cylindrical,Equirectangular,Equirectangular,CT_Equirectangular,Equirectangular,,,,,,,
1900,0,,,,,,21,VDGRNTN,,Van Der Grinten,,Van_der_Grinten_I,,,,,VanDerGrinten,VanDerGrinten,CT_VanDerGrinten,Van der Grinten,,,,,,,
2000,9806,,,,,,22,CASSINI,,Cassini,Cassini-Soldner,Cassini,Cassini,,,Cassini-Soldner,Cassini-Soldner,Cassini-Soldner,CT_CassiniSoldner,Cassini,,,,,,,
2100,0,,,,,,23,ROBINSON,,Robinson Cylindrical,,Robinson,Robinson,,,,Robinson,Robinson,CT_Robinson,Robinson,,,,,,,
2200,9827,,,,,,24,BONNE,,Bonne Pseudoconical,Bonne,Bonne,,,,,Bonne Pseudoconical Projection,Bonne Pseudoconical Projection,,Bonne,,,,,,,
2300,0,,,,,,25,ECKERT4,,"Ekert Pseudocylindrical, Number IV",,Eckert_IV,Eckert IV,,,,Eckert_IV,Eckert_IV,,Eckert IV,,,,,,,
2400,0,,,,,,26,ECKERT6,,"Ekert Pseudocylindrical, Number VI",,Eckert_VI,Eckert VI,,,,Eckert_VI,Eckert_VI,,Eckert VI,,,,,,,
2500,0,,,,,,27,MOLLWEID,,Mollweide,,Mollweide,Mollweide,,,,Mollweide,Mollweide,Mollweide,Mollweide,,,,,,,
2600,0,,,,,,28,GOODE,,Goode Homolosine,,,,,,,Goode Homolosine Projection,,,,,,,,,,
2700,0,,,,,,29,NEACYL,,"Normal Aspect, Equal Area Cylindrical",,Cylindrical_Equal_Area,,,,,"Normal Aspect, Equal Area Cylindrical Projection",,,Cylindrical Equal Area,,,,,,,
2800,0,,,,,,30,TEACYL,,"Transverse Aspect, Equal Area Cylindrical",,,,,,,"Transverse Aspect, Equal Area Cylindrical Projection",,,,,,,,,,
2900,0,,,,,,31,BIPOLAR,,Bipolar Oblique Conformal Conic,,,,,,,Bipolar Oblique Conformal Conic Projection,,,,,,,,,,
