SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
200,0,0,0,0,0,82414,,,,,,,,,,,,,,UTM Zone 57 (Tokyo),,,,,0,0,0
300,0,0,0,0,0,82275,,,,,,,,,,,,,,"UTM Zone 20, Northern Hemisphere (Corrego Alegre)",,,,,0,0,0
400,0,0,0,0,0,82283,,,,,,,,,,,,,,"UTM Zone 21, Northern Hemisphere (Corrego Alegre)",,,,,0,0,0
500,0,0,0,0,0,82291,,,,,,,,,,,,,,"UTM Zone 22, Northern Hemisphere (Corrego Alegre)",,,,,0,0,0
600,0,0,0,0,0,82257,,,,,,,,,,,,,,"UTM Zone 18, Southern Hemisphere (Corrego Alegre)",,,,,0,0,0
700,0,0,0,0,0,82263,,,,,,,,,,,,,,"UTM Zone 19, Southern Hemisphere (Corrego Alegre)",,,,,0,0,0
800,0,0,0,0,0,82278,,,,,,,,,,,,,,"UTM Zone 20, Southern Hemisphere (Corrego Alegre)",,,,,0,0,0
900,0,0,,0,0,82180,,,,,,,,,,,,,,Projection 3,,,,,,,
1000,2000,2000,2000,0,0,0,,Anguilla57.BWIgrid,Anguilla57.BWIgrid,,Anguilla 1957 / British West Indies Grid,Anguilla_1957_British_West_Indies_Grid,Anguilla 1957 / British West Indies Grid,,,Anguilla 1957 / British West Indies Grid,,,,,,,,,0,0,0
1100,2001,2001,2001,0,0,0,,Antigua43.BWIgrid,Antigua43.BWIgrid,Antigua1943.BWIgrid,Antigua 1943 / British West Indies Grid,Antigua_1943_British_West_Indies_Grid,Antigua 1943 / British West Indies Grid,,,Antigua 1943 / British West Indies Grid,,,,,,,,,0,0,0
1200,2002,2002,2002,0,0,0,,Dominica45.BWIgrid,Dominica45.BWIgrid,Dominica1945.BWIgrid,Dominica 1945 / British West Indies Grid,Dominica_1945_British_West_Indies_Grid,Dominica 1945 / British West Indies Grid,,,Dominica 1945 / British West Indies Grid,,,,,,,,,0,0,0
1300,2003,2003,2003,0,0,0,,Grenada53.BWIgrid,Grenada53.BWIgrid,Grenada1953.BWIgrid,Grenada 1953 / British West Indies Grid,Grenada_1953_British_West_Indies_Grid,Grenada 1953 / British West Indies Grid,,,Grenada 1953 / British West Indies Grid,,,,,,,,,0,0,0
1400,2004,2004,2004,0,0,0,,Montserrat58.BWIgrid,Montserrat58.BWIgrid,Montserrat1958.BWIgrid,Montserrat 1958 / British West Indies Grid,Montserrat_1958_British_West_Indies_Grid,Montserrat 58 / British West Indies Grid,,,Montserrat 58 / British West Indies Grid,,,,,,,,,0,0,0
1500,2005,2005,2005,0,0,0,,StKitts55.BWIgrid,StKitts55.BWIgrid,StKitts1955.BWIgrid,St. Kitts 1955 / British West Indies Grid,St_Kitts_1955_British_West_Indies_Grid,St Kitts 1955 / British West Indies Grid,,,St Kitts 1955 / British West Indies Grid,,,,,,,,,0,0,0
1600,2006,2006,2006,0,0,0,,StLucia55.BWIgrid,StLucia55.BWIgrid,StLucia1955.BWIgrid,St. Lucia 1955 / British West Indies Grid,St_Lucia_1955_British_West_Indies_Grid,St Lucia 1955 / British West Indies Grid,,,St Lucia 1955 / British West Indies Grid,,,,,,,,,0,0,0
1700,2007,2007,2007,0,0,0,,StVincent45.BWIgrid,StVincent45.BWIgrid,StVincent1945.BWIgrid,St. Vincent 45 / British West Indies Grid,St_Vincent_1945_British_West_Indies_Grid,St Vincent 45 / British West Indies Grid,,,St Vincent 45 / British West Indies Grid,,,,,,,,,0,0,0
1800,2008,2008,2008,0,0,82183,,NADq77.SCoPQ-2,NADq77.SCoPQ-2,,NAD27(CGQ77) / SCoPQ zone 2,NAD_1927_CGQ77_MTM_2_SCoPQ,NAD27(CGQ77) / SCoPQ zone 2,,,,,,,Quebec MTM Zone 2 (NAD 27),,,,,0,0,0
1900,2009,2009,2009,0,0,82185,,NADq77.SCoPQ-3,NADq77.SCoPQ-3,,NAD27(CGQ77) / SCoPQ zone 3,NAD_1927_CGQ77_MTM_3_SCoPQ,NAD27(CGQ77) / SCoPQ zone 3,,,,,,,Quebec MTM Zone 3 (NAD 27),,,,,0,0,0
2000,2010,2010,2010,0,0,82187,,NADq77.SCoPQ-4,NADq77.SCoPQ-4,,NAD27(CGQ77) / SCoPQ zone 4,NAD_1927_CGQ77_MTM_4_SCoPQ,NAD27(CGQ77) / SCoPQ zone 4,,,,,,,Quebec MTM Zone 4 (NAD 27),,,,,0,0,0
2100,2011,2011,2011,0,0,82189,,NADq77.SCoPQ-5,NADq77.SCoPQ-5,,NAD27(CGQ77) / SCoPQ zone 5,NAD_1927_CGQ77_MTM_5_SCoPQ,NAD27(CGQ77) / SCoPQ zone 5,,,,,,,Quebec MTM Zone 5 (NAD 27),,,,,0,0,0
2200,2012,2012,2012,0,0,82191,,NADq77.SCoPQ-6,NADq77.SCoPQ-6,,NAD27(CGQ77) / SCoPQ zone 6,NAD_1927_CGQ77_MTM_6_SCoPQ,NAD27(CGQ77) / SCoPQ zone 6,,,,,,,Quebec MTM Zone 6 (NAD 27),,,,,0,0,0
2300,2013,2013,2013,0,0,82193,,NADq77.SCoPQ-7,NADq77.SCoPQ-7,,NAD27(CGQ77) / SCoPQ zone 7,NAD_1927_CGQ77_MTM_7_SCoPQ,NAD27(CGQ77) / SCoPQ zone 7,,,,,,,Quebec MTM Zone 7 (NAD 27),,,,,0,0,0
2400,2014,2014,2014,0,0,82195,,NADq77.SCoPQ-8,NADq77.SCoPQ-8,,NAD27(CGQ77) / SCoPQ zone 8,NAD_1927_CGQ77_MTM_8_SCoPQ,NAD27(CGQ77) / SCoPQ zone 8,,,,,,,Quebec MTM Zone 8 (NAD 27),,,,,0,0,0
2500,2015,2015,2015,0,0,82197,,NADq77.SCoPQ-9,NADq77.SCoPQ-9,,NAD27(CGQ77) / SCoPQ zone 9,NAD_1927_CGQ77_MTM_9_SCoPQ,NAD27(CGQ77) / SCoPQ zone 9,,,,,,,Quebec MTM Zone 9 (NAD 27),,,,,0,0,0
2600,2016,2016,2016,0,0,82181,,NADq77.SCoPQ-10,NADq77.SCoPQ-10,,NAD27(CGQ77) / SCoPQ zone 10,NAD_1927_CGQ77_MTM_10_SCoPQ,NAD27(CGQ77) / SCoPQ zone 10,,,,,,,Quebec MTM Zone 10 (NAD 27),,,,,0,0,0
2700,2017,2017,2017,0,0,0,,NADo76.MTM-8,NADo76.MTM-8,,NAD27(76) / MTM zone 8,NAD_1927_DEF_1976_MTM_8,NAD27(76) / MTM zone 8,,,,,,,,,,,,0,0,0
2800,2018,2018,2018,0,0,0,,NADo76.MTM-9,NADo76.MTM-9,,NAD27(76) / MTM zone 9,NAD_1927_DEF_1976_MTM_9,NAD27(76) / MTM zone 9,,,,,,,,,,,,0,0,0
2900,2019,2019,2019,0,0,0,,NADo76.MTM-10,NADo76.MTM-10,,NAD27(76) / MTM zone 10,NAD_1927_DEF_1976_MTM_10,NAD27(76) / MTM zone 10,,,,,,,,,,,,0,0,0
